Symbol,Name,Last,Sector,Industry,Time,"YTD %Chg","10Y %Chg",Beta,"Market Cap",Sales(a),"Net Income(a)","Earnings ttm","Div Yield","52W %Chg"
INCY,"Incyte Corp",71.14,Medical,"Medical - Biomedical",2023-03-29,-11.43%,+200.34%,0.74,15676669000,3394640000,340660000,2.13,0.00%,-9.89%
INTC,"Intel Corp",31.52,"Computers and Technology","Semi General",2023-03-29,+19.26%,+34.17%,0.81,121172728000,63054000000,8014000000,1.85,4.98%,-38.81%
INTU,"Intuit Inc",433.29,"Computers and Technology","Computer - Software",2023-03-29,+11.32%,+538.64%,1.16,117641352000,12726000000,2066000000,8.54,0.74%,-9.83%
INVH,"Invitation Homes Inc",30.23,Finance,"REIT - Equity Trust Resident",2023-03-29,+1.99%,N/A,0.89,18012168000,2238120000,383330000,0.64,3.53%,-25.30%
IP,"International Paper Company",35.07,"Basic Materials","Paper & Related Products",2023-03-29,+1.27%,-25.59%,1.07,12133912000,21161000000,1504000000,3.88,5.34%,-23.96%
IPG,"Interpublic Group of Companies",35.32,"Business Services","Advertising Marketing Services",2023-03-29,+6.03%,+170.45%,1.11,13571206000,10927800000,938000000,2.75,3.52%,-1.92%
IQV,"Iqvia Holdings Inc",192.91,"Business Services","Technology Services",2023-03-29,-5.85%,N/A,1.4,35342592000,14410000000,1091000000,9.36,0.00%,-14.90%
IR,"Ingersoll Rand Inc",56.7,"Industrial Products","Machinery - General Industrial",2023-03-29,+8.52%,N/A,1.43,22661392000,5916300000,604700000,2.2,0.14%,+13.86%
IRM,"Iron Mountain Inc",50.97,Finance,"REIT - Equity Trust Other",2023-03-29,+2.25%,+37.92%,0.89,14568072000,5103570000,556980000,1.75,4.94%,-5.05%
ISRG,"Intuitive Surg Inc",250.76,Medical,"Medical Instruments",2023-03-29,-5.50%,+357.14%,1.29,87385616000,6222200000,1322300000,3.66,0.00%,-14.98%
IT,"Gartner Inc",318.36,"Business Services",Consulting,2023-03-29,-5.29%,+478.44%,1.28,24882864000,5475850000,807800000,11.29,0.00%,+7.31%
ITW,"Illinois Tool Works Inc",239.44,"Industrial Products","Machinery - General Industrial",2023-03-29,+8.69%,+284.16%,1.1,71361648000,15932000000,3034000000,9.17,2.24%,+11.73%
IVZ,"Invesco Plc",16.06,Finance,"Finance - Investment Mgmt",2023-03-29,-10.73%,-46.06%,1.35,7103211000,6048900000,920700000,1.68,4.80%,-28.27%
J,"Jacobs Engineering Group Inc",115.71,"Business Services","Technology Services",2023-03-29,-3.63%,+103.09%,0.86,14473272000,14922830000,644040000,7.05,0.91%,-16.49%
JBHT,"J B Hunt Transport",171.06,Transportation,"Transportation - Truck",2023-03-29,-1.89%,+129.99%,1.14,17775800000,14814000000,969350000,9.2,0.98%,-18.36%
JCI,"Johnson Controls Intl",59.56,"Industrial Products","Protection - Safety",2023-03-29,-6.94%,+84.09%,1.23,36416752000,25299000000,1532000000,3.14,2.44%,-9.74%
JKHY,"Jack Henry & Assoc",148.52,"Computers and Technology","Electronic Misc Services",2023-03-29,-15.40%,+224.00%,0.64,10928211000,1942880000,362920000,4.82,1.39%,-23.64%
JNJ,"Johnson & Johnson",153.31,Medical,"Large Cap Pharma",2023-03-29,-13.21%,+86.21%,0.54,395382720000,94943000000,17941000000,10.16,2.98%,-13.79%
JNPR,"Juniper Networks",33.37,"Computers and Technology","Wireless Equipment",2023-03-29,+4.41%,+77.78%,0.94,10677721000,5301200000,471000000,1.45,2.67%,-10.56%
JPM,"JP Morgan Chase & Company",129.14,Finance,"Banks - Major Regional",2023-03-29,-3.70%,+171.56%,1.12,379339584000,154792000000,37676000000,12.08,3.10%,-8.33%
K,"Kellogg Company",66.49,"Consumer Staples","Food - Misc & Diversified",2023-03-29,-6.67%,+2.89%,0.42,22659910000,15315000000,960000000,4.23,3.56%,+5.61%
KDP,"Keurig Dr Pepper Inc",35.29,"Consumer Staples","Beverages - Soft",2023-03-29,-1.04%,-25.15%,0.57,49422544000,14057000000,1436000000,1.68,2.28%,-7.13%
KEY,Keycorp,12.67,Finance,"Banks - Major Regional",2023-03-29,-27.27%,+24.20%,1.31,11440506000,8130000000,1917000000,1.92,6.63%,-45.92%
KEYS,"Keysight Technologies Inc",156.65,"Computers and Technology","Electronics - Measuring Inst",2023-03-29,-8.43%,N/A,1.07,27666770000,5420000000,1124000000,7.32,0.00%,-2.12%
KHC,"Kraft Heinz Company",38.67,"Consumer Staples","Food - Misc & Diversified",2023-03-29,-5.01%,-25.50%,0.7,47104488000,26485000000,2363000000,2.78,4.17%,-1.83%
KIM,"Kimco Realty Corp",18.6,Finance,"REIT - Equity Trust Retail",2023-03-29,-12.18%,-18.62%,1.46,11300631000,1727680000,125980000,0.15,5.05%,-23.71%
KLAC,"K L A-Tencor Corp",385.15,"Computers and Technology","Electronics Products - Misc",2023-03-29,+2.15%,+603.47%,1.38,51377464000,9211880000,3321810000,25.38,1.40%,+2.61%
KMB,"Kimberly-Clark Corp",132.48,"Consumer Staples","Consumer Prdts - Misc Staple",2023-03-29,-2.41%,+34.28%,0.39,44398824000,20175000000,1934000000,5.63,3.59%,+8.21%
KMI,"Kinder Morgan",17.25,Oils-Energy,"Oil - Production & Pipeline",2023-03-29,-4.59%,-55.89%,0.95,38350928000,19200000000,2548000000,1.15,6.51%,-8.00%
KMX,"Carmax Inc",59.53,Retail-Wholesale,"Retail - Wholesale Auto Parts",2023-03-29,-2.23%,+39.74%,1.43,9208000000,31900410000,1151300000,3.57,0.00%,-39.64%
KO,"Coca-Cola Company",61.86,"Consumer Staples","Beverages - Soft",2023-03-29,-2.75%,+51.88%,0.53,265721728000,43004000000,9542000000,2.48,3.00%,-0.10%
KR,"Kroger Company",49.04,Retail-Wholesale,"Retail - Supermarket",2023-03-29,+10.00%,+195.23%,0.47,35018012000,148258000000,2244000000,4.22,2.13%,-13.96%
L,"Loews Corp",56.9,Finance,"Insurance - Multi Line",2023-03-29,-2.45%,+26.80%,0.83,13131689000,14044000000,1012000000,4.74,0.45%,-12.92%
LDOS,"Leidos Holdings Inc",91.44,Aerospace,"Aerospace - Defense",2023-03-29,-13.07%,+144.48%,0.76,12483159000,14396000000,693000000,6.59,1.58%,-16.15%
LEN,"Lennar Corp",102.47,Construction,"Building - Residential & Comm",2023-03-29,+13.23%,+145.27%,1.42,29474078000,33671010000,4614130000,17.01,1.47%,+24.19%
LH,"Laboratory Corp of America Holdings",221.82,Medical,"Medical - Dental Suppliers",2023-03-29,-5.80%,+144.66%,1.06,19530178000,14876800000,1279100000,19.89,1.31%,-19.75%
LHX,"L3Harris Technologies Inc",194.64,Aerospace,"Aerospace - Defense",2023-03-29,-6.52%,+314.22%,0.71,36462244000,17062000000,1062000000,12.88,2.38%,-21.97%
LIN,"Linde Plc",349.73,"Basic Materials","Chemical - Specialty",2023-03-29,+7.22%,N/A,0.84,170961952000,33364000000,4147000000,12.29,1.47%,+8.40%
LKQ,"LKQ Corp",55.82,Auto-Tires-Trucks,"Auto - Truck Replacement Parts",2023-03-29,+4.51%,+153.91%,1.36,14767772000,12794000000,1149000000,3.84,1.99%,+22.60%
LLY,"Eli Lilly and Company",335.87,Medical,"Large Cap Pharma",2023-03-29,-8.19%,+494.56%,0.36,320867456000,28541400000,6244800000,7.94,1.34%,+15.16%
LMT,"Lockheed Martin Corp",474.19,Aerospace,"Aerospace - Defense",2023-03-29,-2.53%,+388.44%,0.68,119990440000,65984000000,5732000000,27.42,2.55%,+6.56%
LNC,"Lincoln National Corp",21.76,Finance,"Insurance - Life",2023-03-29,-29.17%,-36.31%,1.81,3514720000,18784000000,-2227000000,-5.37,8.67%,-67.66%
LNT,"Alliant Energy Corp",52.82,Utilities,"Utility - Electric Power",2023-03-29,-4.33%,+107.13%,0.53,13051642000,4205000000,686000000,2.79,3.48%,-14.81%
LOW,"Lowe's Companies",191.94,Retail-Wholesale,"Building Prds Retail - Wsale",2023-03-29,-3.66%,+401.45%,1.1,118026288000,97059000000,6437000000,13.73,2.21%,-10.22%
LRCX,"Lam Research Corp",515.75,"Computers and Technology","Semi-Eqpt Wafer Fabrication",2023-03-29,+22.71%,"+1,070.00%",1.48,65454756000,17227040000,4605290000,37.36,1.42%,-7.46%
LUV,"Southwest Airlines Company",31.44,Transportation,"Transportation - Airline",2023-03-29,-6.62%,+127.23%,1.15,18203010000,23814000000,539000000,1.1,2.35%,-29.22%
LVS,"Las Vegas Sands",54.9,"Consumer Discretionary",Gaming,2023-03-29,+14.21%,-3.14%,1.16,41714024000,4110000000,1832000000,-1.2,0.00%,+41.17%
LW,"Lamb Weston Holdings Inc",102.57,"Consumer Staples","Food - Misc & Diversified",2023-03-29,+14.78%,N/A,0.51,14628804000,4098900000,200900000,3.41,1.10%,+76.81%
LYB,"Lyondellbasell Industries NV",91.56,"Basic Materials","Chemical - Diversified",2023-03-29,+10.27%,+42.30%,1.21,29358840000,50451000000,3889000000,12.44,5.29%,-13.16%
LYV,"Live Nation Entertainment",68.61,"Consumer Discretionary","Leisure & Recreation Services",2023-03-29,-1.62%,+448.50%,1.31,15713449000,16681250000,149220000,0.57,0.00%,-41.65%
MA,"Mastercard Inc",359.53,"Business Services","Financial Transaction Services",2023-03-29,+3.39%,+554.80%,1.11,337762560000,22237000000,9930000000,10.65,0.64%,+2.58%
MAA,"Mid-America Apartment Communities",146.76,Finance,"REIT - Equity Trust Resident",2023-03-29,-6.52%,+107.89%,0.77,16740118000,2019870000,637440000,5.69,3.90%,-30.01%
MAR,"Marriot Int Cl A",162.13,"Consumer Discretionary","Hotels & Motels",2023-03-29,+8.89%,+276.46%,1.58,48985076000,20773000000,2358000000,6.7,1.01%,-5.50%
MAS,"Masco Corp",48.76,Construction,"Building & Construction - Misc",2023-03-29,+4.48%,+137.14%,1.19,10814249000,8680000000,844000000,3.72,2.37%,-7.84%
MCD,"McDonald's Corp",277.44,Retail-Wholesale,"Retail - Restaurants",2023-03-29,+5.28%,+176.71%,0.62,201783456000,23182600000,6177400000,10.1,2.20%,+14.20%
MCHP,"Microchip Technology",80.87,"Computers and Technology","Semi Analog & Mixed",2023-03-29,+15.12%,+323.50%,1.58,42651400000,6820900000,1285500000,5.43,1.84%,+4.42%
MCK,"Mckesson Corp",357.16,Medical,"Medical - Dental Suppliers",2023-03-29,-4.79%,+228.34%,0.59,48542136000,263966000000,1114000000,24.62,0.61%,+15.78%
MCO,"Moody's Corp",299.55,Finance,"Finance - Misc Services",2023-03-29,+7.51%,+451.37%,1.3,53879248000,5468000000,1374000000,8.56,1.05%,-10.78%
MDLZ,"Mondelez Intl Inc",70.37,"Consumer Staples","Food - Misc & Diversified",2023-03-29,+5.58%,+127.34%,0.65,94872528000,31496000000,2717000000,2.98,2.21%,+14.29%
MDT,"Medtronic Inc",79.07,Medical,"Medical Products",2023-03-29,+1.74%,+69.31%,0.71,105782008000,31686000000,5040000000,5.25,3.42%,-28.07%
MET,"Metlife Inc",56.49,Finance,"Insurance - Multi Line",2023-03-29,-21.94%,+63.29%,1.08,42922884000,69898000000,2539000000,6.84,3.61%,-20.75%
META,"Meta Platforms Inc",205.35,"Computers and Technology","Internet - Software",2023-03-29,+70.64%,+684.52%,1.18,520290752000,116609000000,23200000000,9.82,0.00%,-8.16%
MGM,"MGM Resorts International",43.08,"Consumer Discretionary",Gaming,2023-03-29,+28.48%,+217.95%,2.05,15590615000,13127490000,1473090000,-0.66,0.02%,+2.11%
MHK,"Mohawk Industries",96.8,"Consumer Discretionary","Textile - Home Furnishings",2023-03-29,-5.30%,-14.93%,1.28,6114455000,11737070000,25250000,12.85,0.00%,-26.59%
MKC,"Mccormick & Company",81.2,"Consumer Staples","Food - Misc & Diversified",2023-03-29,-2.04%,+120.75%,0.56,21764520000,6350500000,682000000,2.53,1.92%,-16.82%
